,title,author,genres,description,sentiment_BERT
479,ONCE UPON A BROKEN HEART,,,"The story of Evangeline Fox, Jacks, the Prince of Hearts and the pursuit of true love.",positive
480,MURTAGH,,,"Murtagh and his dragon, Thorn, must find and outwit a mysterious witch.",positive
481,NIGHTBANE,,,"In this sequel to ""Lightlark,"" Isla must chose between her two powerful lovers.",positive
482,POWERLESS,,,"Forbidden love is in the air when Paedyn, an Ordinary, and Kai, an Elite, become romantically involved.",positive
483,THE WAY I AM NOW,,,Eden and Josh decide to give their relationship another chance despite the emotional baggage they both carry.,positive
484,WHAT THE RIVER KNOWS,,,Inez Olivera sets sail to investigate the mysterious deaths of her parents in 1884 Egypt.,positive
485,DARK HEIR,,,"In this sequel to ""Dark Rise,"" Will must keep his true identity a secret from his companions.",positive
486,DIRTY THIRTY,,,"The 30th book in the Stephanie Plum series. Plum tracks a local jeweler’s former security guard and has an overnight stakeout with relatives. Read by Lorelei King and the author. 8 hours, 2 minutes unabridged.",positive
487,INFLUENCERS,,,"The fifth book in the Cat Kid Comic Club series. As publication seems possible, the baby frogs feel doubt.",positive
488,THE BAD GUYS IN LOOK WHO'S TALKING,,,The 18th book in the Bad Guys series. New revelations emerge as one character finds her voice.,positive
489,"JUJUTSU KAISEN, VOL. 21",,,Hakari and Panda get separated when they search for Kashimo at the Tokyo No. 2 Colony.,positive
490,"ONE PIECE, VOL. 104",,,The battle between Luffy and Kaido approaches an end.,positive
491,WITHOUT A TRACE,,,Charles Vincent meets someone who ignites his passion and must decide whether to walk away from his perfect-from-the-outside life.,positive
492,TOM CLANCY: RED WINTER,,,The 22nd book in the Jack Ryan series. Ryan goes behind the Berlin Wall in 1985 to investigate an East German defector.,positive
493,THE JAILHOUSE LAWYER,,,A young lawyer winds up in an Alabama jail that remains mysteriously crowded.,positive
494,"GIRL, FORGOTTEN",,,U.S. Marshal Andrea Oliver goes to Longbill Beach to protect a judge and winds up investigating a cold case from 1982.,positive
495,FOREVER UNDER THE MISTLETOE,,,Two holiday stories: “When Christmas Comes” and “Christmas Letters.”,positive
496,BRING ME HOME FOR CHRISTMAS,,,"Still trying to get over the college boyfriend who broke her heart, a young woman ends up stranded in his town — and with him.",positive
497,WYOMING PROUD,,,The 12th book in the Wyoming Men series. Erianne Mitchell carries a secret with her to Wyoming. A dashing architect follows her there in hopes of winning back her trust.,positive
498,OATH AND HONOR,,,The former congresswoman from Wyoming recounts how she helped lead the Select Committee to Investigate the Jan. 6. Attack on the United States Capitol.,positive
499,THE BOYS IN THE BOAT,,,The University of Washington’s eight-oar crew and their quest for gold at the 1936 Berlin Olympics.,positive
500,ALEX CROSS MUST DIE,,,"The 32nd book in the Alex Cross series. When a jet is gunned down, Cross goes back into action.",positive
501,THE LYRICS: 1956 TO THE PRESENT,,,"A celebration of 161 songs, with handwritten texts, paintings and photographs from the songwriter’s archives.",positive
502,WONKA,,,"The movie novelization and prequel to ""Charlie and the Chocolate Factory,"" written by Roald Dahl.",positive
503,JUNIPER'S CHRISTMAS,,,Juniper Lane suspects that Santa himself is living in her local park and seeks his help.,positive
504,PETE THE CAT'S 12 GROOVY DAYS OF CHRISTMAS,,,"Pete's spin on the holiday classic ""The Twelve Days of Christmas.""",positive
505,THE OFFICIAL FIVE NIGHTS AT FREDDY'S COOKBOOK,,,Over 40 recipes inspired by the hit games.,positive
506,BETTING ON YOU,,,"Charlie and Bailey place bets on the love lives of others, while fighting the feelings they have for each other.",positive
507,HOUSE OF EARTH AND BLOOD,,,"Passion arises between Bryce Quinlan and Hunt Athalar as they seek to avenge the deaths of Bryce’s friends. Read by Elizabeth Evans. 27 hours, 50 minutes unabridged",positive
508,"THE KINGDOM, THE POWER, AND THE GLORY",,,"The author of “American Carnage” looks at divisions within the American evangelical movement. Read by the author. 18 hours, 15 minutes unabridged.",positive
509,"HEARTSTOPPER, VOL. 5",,,"Charlie wants to take his relationship with Nick, who will go to university next year, to a new level.",positive
510,WINTER TURNING,,,The seventh book in the Wings of Fire graphic novel series. Winter must face his family in the Ice Kingdom.,positive
511,"CHAINSAW MAN, VOL. 13",,,Asa’s new friend may have a secret and Denji questions his own competence as he considers revealing his identity.,neutral
512,CLAUDIA AND THE BAD JOKE,,,The 15th book in the Baby-Sitters Club graphic novel series. Things escalate when a practical joker causes Claudia to break her leg.,positive
513,3 DAYS TO LIVE,,,"Three thrillers: “3 Days to Live,” “Women and Children First” and “The Housekeepers.”",neutral
514,GABRIEL'S ANGEL,,,"On a snowy night in Colorado, a man saves a stranded pregnant woman and joins her custody battle after falling in love.",positive
515,DARK NIGHT OF THE MOUNTAIN MAN,,,"A gang of bank robbers, a medicine man and a giant grizzly bear complicate matters for Smoke Jensen.",positive
516,TREASURE STATE,,,The sixth book in the Cassie Dewell series. Cassie works two cases involving buried treasure and a con man.,positive
517,JUST AFTER SUNSET,,,A collection of short stories that blend fantasy and psychological realism.,positive
